Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.157516420,0,0,0,0
0.157557620,0,0,1,0
0.157565240,0,0,0,0
0.157606320,0,0,1,0
0.157614060,0,0,0,0
0.159047820,1,0,0,0
0.159056900,1,1,0,0
0.159093700,1,1,0,1
0.159109700,1,1,0,0
0.159508420,1,1,1,0
0.159516060,1,1,0,0
0.159557260,1,1,1,0
0.159564860,1,1,0,0
0.159605960,1,1,1,0
0.159613700,1,1,0,0
0.161047460,0,1,0,0
0.161056420,0,0,0,0
0.161093900,0,0,0,1
0.161109880,0,0,0,0
0.161508520,0,0,1,0
0.161516140,0,0,0,0
0.161557260,0,0,1,0
0.161564860,0,0,0,0
0.161606080,0,0,1,0
0.161613820,0,0,0,0
0.163062180,1,0,0,0
0.163071240,1,1,0,0
0.163108040,1,1,0,1
0.163124020,1,1,0,0
0.163531380,1,1,1,0
0.163539020,1,1,0,0
0.163580140,1,1,1,0
0.163587760,1,1,0,0
0.163628900,1,1,1,0
0.163636660,1,1,0,0
0.165063680,0,1,0,0
0.165072700,0,0,0,0
0.165109860,0,0,0,1
0.165125840,0,0,0,0
0.165532900,0,0,1,0
0.165540520,0,0,0,0
0.165588900,0,0,1,0
0.165596520,0,0,0,0
0.165630480,0,0,1,0
0.165638220,0,0,0,0
0.167045800,1,0,0,0
0.167054940,1,1,0,0
0.167091660,1,1,0,1
0.167107660,1,1,0,0
0.167514720,1,1,1,0
0.167522340,1,1,0,0
0.167563420,1,1,1,0
0.167571020,1,1,0,0
0.167612240,1,1,1,0
0.167619980,1,1,0,0
0.169047400,0,1,0,0
0.169056460,0,0,0,0
0.169093740,0,0,0,1
0.169109740,0,0,0,0
0.169516860,0,0,1,0
0.169524480,0,0,0,0
0.169565540,0,0,1,0
0.169573160,0,0,0,0
0.169614360,0,0,1,0
0.169622120,0,0,0,0
0.171047520,1,0,0,0
0.171056580,1,1,0,0
0.171093380,1,1,0,1
0.171109360,1,1,0,0
0.171516540,1,1,1,0
0.171524180,1,1,0,0
0.171565360,1,1,1,0
0.171572980,1,1,0,0
0.171614060,1,1,1,0
0.171621820,1,1,0,0
0.173046800,0,1,0,0
0.173055780,0,0,0,0
0.173093200,0,0,0,1
0.173109180,0,0,0,0
0.173516440,0,0,1,0
0.173524060,0,0,0,0
0.173565180,0,0,1,0
0.173572800,0,0,0,0
0.173613940,0,0,1,0
0.173621680,0,0,0,0
0.175047440,1,0,0,0
0.175056480,1,1,0,0
0.175093340,1,1,0,1
0.175109320,1,1,0,0
0.175516300,1,1,1,0
0.175523940,1,1,0,0
