Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.131464775,0,0,0,1,1,0
0.131508225,0,0,0,1,1,1
0.131529950,0,0,0,1,1,0
0.131685100,0,1,0,1,1,0
0.131699425,0,0,0,1,1,0
0.131706125,0,0,1,1,1,0
0.131735050,0,0,0,1,1,0
0.131768050,1,0,0,1,1,0
0.131783775,0,0,0,1,1,0
0.131964550,0,0,0,1,0,0
0.133480450,0,0,0,1,1,0
0.133489425,0,0,0,0,1,0
0.133533275,0,0,0,0,1,1
0.133555000,0,0,0,0,1,0
0.133710200,0,1,0,0,1,0
0.133724500,0,0,0,0,1,0
0.133731125,0,0,1,0,1,0
0.133760075,0,0,0,0,1,0
0.133792875,1,0,0,0,1,0
0.133808600,0,0,0,0,1,0
0.133989275,0,0,0,0,0,0
0.135502325,0,0,0,0,1,0
0.135511575,0,0,0,1,1,0
0.135555025,0,0,0,1,1,1
0.135576750,0,0,0,1,1,0
0.135731825,0,1,0,1,1,0
0.135746150,0,0,0,1,1,0
0.135752775,0,0,1,1,1,0
0.135781725,0,0,0,1,1,0
0.135814825,1,0,0,1,1,0
0.135830575,0,0,0,1,1,0
0.136011375,0,0,0,1,0,0
0.137429725,0,0,0,1,1,0
0.137438700,0,0,0,0,1,0
0.137482550,0,0,0,0,1,1
0.137504250,0,0,0,0,1,0
0.137670475,0,1,0,0,1,0
0.137684800,0,0,0,0,1,0
0.137691300,0,0,1,0,1,0
0.137720250,0,0,0,0,1,0
0.137742100,1,0,0,0,1,0
0.137757825,0,0,0,0,1,0
0.137938550,0,0,0,0,0,0
0.139453250,0,0,0,0,1,0
0.139462500,0,0,0,1,1,0
0.139505950,0,0,0,1,1,1
0.139527675,0,0,0,1,1,0
0.139682750,0,1,0,1,1,0
0.139697075,0,0,0,1,1,0
0.139703700,0,0,1,1,1,0
0.139732650,0,0,0,1,1,0
0.139765750,1,0,0,1,1,0
0.139781475,0,0,0,1,1,0
0.139962275,0,0,0,1,0,0
0.141479225,0,0,0,1,1,0
0.141488200,0,0,0,0,1,0
0.141532050,0,0,0,0,1,1
0.141553750,0,0,0,0,1,0
0.141708825,0,1,0,0,1,0
0.141723150,0,0,0,0,1,0
0.141729850,0,0,1,0,1,0
0.141758800,0,0,0,0,1,0
0.141791775,1,0,0,0,1,0
0.141807500,0,0,0,0,1,0
0.141988375,0,0,0,0,0,0
0.143502100,0,0,0,0,1,0
0.143511350,0,0,0,1,1,0
0.143554825,0,0,0,1,1,1
0.143576525,0,0,0,1,1,0
0.143731600,0,1,0,1,1,0
0.143745925,0,0,0,1,1,0
0.143752625,0,0,1,1,1,0
0.143781575,0,0,0,1,1,0
0.143814925,1,0,0,1,1,0
0.143830650,0,0,0,1,1,0
0.144011475,0,0,0,1,0,0
0.145429425,0,0,0,1,1,0
0.145438425,0,0,0,0,1,0
0.145482275,0,0,0,0,1,1
0.145503975,0,0,0,0,1,0
0.145659050,0,1,0,0,1,0
0.145673375,0,0,0,0,1,0
0.145679750,0,0,1,0,1,0
0.145708700,0,0,0,0,1,0
0.145741675,1,0,0,0,1,0
0.145757400,0,0,0,0,1,0
0.145938250,0,0,0,0,0,0
0.147454250,0,0,0,0,1,0
0.147463500,0,0,0,1,1,0
0.147506975,0,0,0,1,1,1
0.147528700,0,0,0,1,1,0
0.147683825,0,1,0,1,1,0
0.147698150,0,0,0,1,1,0
0.147715475,0,0,1,1,1,0
0.147744425,0,0,0,1,1,0
0.147766700,1,0,0,1,1,0
0.147782425,0,0,0,1,1,0
0.147963300,0,0,0,1,0,0
0.149478200,0,0,0,1,1,0
0.149487200,0,0,0,0,1,0
0.149531050,0,0,0,0,1,1
0.149552750,0,0,0,0,1,0
0.149707775,0,1,0,0,1,0
0.149722100,0,0,0,0,1,0
0.149728725,0,0,1,0,1,0
0.149757675,0,0,0,0,1,0
0.149790475,1,0,0,0,1,0
0.149806200,0,0,0,0,1,0
0.149986850,0,0,0,0,0,0
0.151500925,0,0,0,0,1,0
0.151510175,0,0,0,1,1,0
0.151553625,0,0,0,1,1,1
0.151575350,0,0,0,1,1,0
0.151730500,0,1,0,1,1,0
0.151744825,0,0,0,1,1,0
0.151751500,0,0,1,1,1,0
0.151780450,0,0,0,1,1,0
0.151813800,1,0,0,1,1,0
0.151829550,0,0,0,1,1,0
0.152010275,0,0,0,1,0,0
0.153429300,0,0,0,1,1,0
0.153438275,0,0,0,0,1,0
0.153482125,0,0,0,0,1,1
0.153503850,0,0,0,0,1,0
0.153659075,0,1,0,0,1,0
0.153673400,0,0,0,0,1,0
0.153679775,0,0,1,0,1,0
0.153708725,0,0,0,0,1,0
0.153741700,1,0,0,0,1,0
0.153757425,0,0,0,0,1,0
0.153938325,0,0,0,0,0,0
0.155456025,0,0,0,0,1,0
0.155465275,0,0,0,1,1,0
0.155510025,0,0,0,1,1,1
0.155531750,0,0,0,1,1,0
0.155686900,0,1,0,1,1,0
0.155701225,0,0,0,1,1,0
0.155707600,0,0,1,1,1,0
0.155732675,0,0,0,1,1,0
0.155769600,1,0,0,1,1,0
0.155785325,0,0,0,1,1,0
0.155966025,0,0,0,1,0,0
0.157480850,0,0,0,1,1,0
0.157489850,0,0,0,0,1,0
0.157534975,0,0,0,0,1,1
0.157556700,0,0,0,0,1,0
0.157711750,0,1,0,0,1,0
0.157726075,0,0,0,0,1,0
0.157732700,0,0,1,0,1,0
0.157757775,0,0,0,0,1,0
0.157794375,1,0,0,0,1,0
0.157810100,0,0,0,0,1,0
0.157990800,0,0,0,0,0,0
0.159506800,0,0,0,0,1,0
0.159516050,0,0,0,1,1,0
0.159560800,0,0,0,1,1,1
0.159582500,0,0,0,1,1,0
0.159737650,0,1,0,1,1,0
0.159751975,0,0,0,1,1,0
0.159758350,0,0,1,1,1,0
0.159783425,0,0,0,1,1,0
0.159820575,1,0,0,1,1,0
0.159836300,0,0,0,1,1,0
0.160017125,0,0,0,1,0,0
0.161428900,0,0,0,1,1,0
0.161437875,0,0,0,0,1,0
0.161483000,0,0,0,0,1,1
0.161504725,0,0,0,0,1,0
0.161659775,0,1,0,0,1,0
0.161674100,0,0,0,0,1,0
0.161680475,0,0,1,0,1,0
0.161705550,0,0,0,0,1,0
0.161742325,1,0,0,0,1,0
0.161758075,0,0,0,0,1,0
0.161938825,0,0,0,0,0,0
0.163457850,0,0,0,0,1,0
0.163467100,0,0,0,1,1,0
0.163511850,0,0,0,1,1,1
0.163533575,0,0,0,1,1,0
0.163688800,0,1,0,1,1,0
0.163703125,0,0,0,1,1,0
0.163709500,0,0,1,1,1,0
0.163734575,0,0,0,1,1,0
0.163772050,1,0,0,1,1,0
0.163787775,0,0,0,1,1,0
0.163968700,0,0,0,1,0,0
0.165486700,0,0,0,1,1,0
0.165495700,0,0,0,0,1,0
0.165540825,0,0,0,0,1,1
0.165562550,0,0,0,0,1,0
0.165717500,0,1,0,0,1,0
